airline_sentiment,airline_sentiment_confidence,airline,text,id,label
negative,0.6492,Southwest,southwestair hi-my flight bna to lga was cancelled flighted this morning-- 1814. looks like other flights out of bna are taking off. any chance?,6707,0
negative,0.3404,United,united donna and juan still the best in the united club_ too bad ual does not get it,3306,0
neutral,1.0,American,"[""americanair what ' s the condition of flight 1357 out of sju?""]",20295,1
positive,1.0,Southwest,"['southwestair big thanks to your team. kinsperson emerg, same mean solar day slate, experience be excellent. 1st metre flying with yall, non my last!']",24010,2
positive,0.689,United,united good job at cle .. tpa on schedule ... 4 to 5 inches of snow !,2538,2
negative,1.0,United,united yes staff were rude and unempathetic. i needed jacket and tablet by 4 got at 11. if u take carryons cause plane full.don't lose em!,3890,0
neutral,1.0,Southwest,['southwestair imaginedragons please help maine and my best ally get tickets to destinationdragons we have so much to thank them for. ...'],18888,1
negative,1.0,US Airways,usairways and the lies continue. just waited another hr to get boarding passes for flight supposedly created today which is now cancelled flightled?!,10144,0
neutral,1.0,Southwest,southwestair confirmation number for new reservation is fp9m6y i am traveling with a 3 year old. please email? jennifer.cascino gmail.com,6529,1
neutral,1.0,Delta,['jetblue i would fly somewhere hotter then hither. puerto anti racketeering law hither i come. lol'],16747,1
negative,0.6551,US Airways,usairways yay for glitchy tracking system! my bags made it to my destination and not laguardia like the app said!,9167,0
positive,0.6832,Southwest,['southwestair sea to den. south legal volleyball team on it way!'],23804,2
negative,1.0,Southwest,southwestair a-list pref credit card holder called exclusive and hung up after on hold for 14 min. what gives???,5920,0
positive,1.0,Delta,"["". jetblue thx for confirming! over again, yr squad is awesome. thanks for the prompt amp helpful answer! sunshine to less snow in everyone ' s future""]",26836,2
positive,1.0,United,['united thanks to supervisor miriam who provided me with great client service of process. ultimately'],21136,2
neutral,1.0,Delta,jetblue hi i flew with your airline once in australia and saw zero kangaroos. had this been rectified,6972,1
neutral,0.6679,US Airways,"['usairways is at that place nothing that give the axe be done online to help? i bought these as a birthday present, just trying to be able bodied to open a change']",20195,1
neutral,1.0,United,"united a3 gold. so the international baggage limit apply when booked on 1 ticket,even for a domestic leg? what if i travel with 2 friends?",2399,1
neutral,1.0,Delta,"[""jetblue atomic number 53 ' mib so pitiful i cheated on you with delta deltaassist. please claim me back. 1 wore trade protection.""]",16366,1
positive,1.0,Delta,"['jetblue very excited, for the foremost clock time this sunday, process one i get to fly jetblue flight 123 lot from kennedy. looking forwards -']",24164,2
positive,0.679,US Airways,['usairways crew keep condom top of mind in clt.'],27210,2
negative,1.0,US Airways,usairways give us no information and an attitude.,9670,0
positive,1.0,American,['americanair thanks! he is.'],22880,2
